speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
boukli	French	L1	0.86	0.0	1.0	to_L1
boukli	French	L1	0.78	0.0	1.0	to_L2
Gamen	Spanish Argentina	L1	0.6585714285714286	0.027553287888551305	7.0	to_L1
Gamen	Spanish Argentina	L1	0.6495454545454545	0.017326471411405378	22.0	to_L2
Lampiste	Español	L1	0.76	0.020000000000000018	2.0	to_L1
Lampiste	Español	L1	0.72	0.0	1.0	to_L2
xicranda	català, español	L1	0.75	0.0	1.0	to_L1
xicranda	català, español	L1	0.73	0.0	1.0	to_L2
Jaime Bien	Español/España	L1	0.6425000000000001	0.01937567203135588	16.0	to_L1
Jaime Bien	Español/España	L1	0.6707142857142857	0.014601664863297106	28.0	to_L2
sayah	Spain. Spanish	L1	0.7533333333333333	0.024037008503093284	3.0	to_L1
sayah	Spain. Spanish	L1	0.71	0.020000000000000018	2.0	to_L2
