speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
Duometri	Spain, Spanish	L1	0.6758536585365854	0.012102084126883196	41.0	to_L2
Artifacs	Spanish- España	L2	0.7150000000000001	0.054999999999999986	2.0	to_L1
Artifacs	Spanish- España	L2	0.6099999999999999	0.019148542155126767	9.0	to_L2
Rodal	Castellano (Chile)	L2	0.6679999999999999	0.021540659228538015	5.0	to_L1
Rodal	Castellano (Chile)	L2	0.63	0.010000000000000009	2.0	to_L2
Vampiro	Chile - Español	L1	0.72625	0.00822398495690676	8.0	to_L1
Vampiro	Chile - Español	L1	0.741111111111111	0.013788526273323186	9.0	to_L2
S.V.	Español, México	L2	0.6871428571428574	0.013061283541060766	28.0	to_L1
S.V.	Español, México	L2	0.6988372093023254	0.010701886599111466	43.0	to_L2
anahiseri	Spanish (Spain) and German (Germany)	L2	0.69	0.0	1.0	to_L1
anahiseri	Spanish (Spain) and German (Germany)	L2	0.73	0.0	1.0	to_L2
Rayines	Castellano/Argentina	L2	0.7310714285714284	0.008943373972928355	28.0	to_L1
Rayines	Castellano/Argentina	L2	0.7066666666666668	0.01336777161712687	30.0	to_L2
jmx	Spain / Spanish	L1	0.7050000000000001	0.054999999999999986	2.0	to_L1
jmx	Spain / Spanish	L1	0.605	0.025000000000000022	2.0	to_L2
Xiscomx	Español de España y Balear	L2	0.7078260869565218	0.013051381005163737	23.0	to_L1
Xiscomx	Español de España y Balear	L2	0.6728571428571429	0.018184726385334585	35.0	to_L2
dexterciyo	Español - Canarias	L2	0.72	0.020000000000000018	2.0	to_L1
dexterciyo	Español - Canarias	L2	0.7	0.0	2.0	to_L2
ToñoTorreón	Español de México	L1	0.7150000000000001	0.026865070745184925	18.0	to_L1
ToñoTorreón	Español de México	L1	0.6947368421052631	0.015109123943715868	19.0	to_L2
SpiceMan	Castellano, Argentina	L2	0.66	0.02529822128134703	5.0	to_L1
SpiceMan	Castellano, Argentina	L2	0.7016666666666667	0.026257274124410625	6.0	to_L2
Elcanario	Spanish - Spain	L2	0.71	0.0	1.0	to_L1
Elcanario	Spanish - Spain	L2	0.66	0.0	1.0	to_L2
Janis Joplin	Español mexicano.	L1	0.4	0.0	1.0	to_L1
Janis Joplin	Español mexicano.	L1	0.7175	0.028099525500145602	4.0	to_L2
MiguelitOOO	Español - México	L2	0.6955555555555555	0.012921892610681116	9.0	to_L1
MiguelitOOO	Español - México	L2	0.6713793103448276	0.011379310344827588	29.0	to_L2
Quiviscumque	Spanish-Spain	L1	0.7266666666666667	0.03282952600598702	3.0	to_L1
Quiviscumque	Spanish-Spain	L1	0.6950000000000001	0.017888543819998316	16.0	to_L2
kunvla	Ruso	L2	0.6958333333333333	0.03243778037966834	12.0	to_L1
kunvla	Ruso	L2	0.6435294117647059	0.03026769264402359	17.0	to_L2
mirx	Español	L2	0.73	0.01615893285805443	9.0	to_L1
mirx	Español	L2	0.76	0.02280350850198276	5.0	to_L2
piraña utria	Spanish - Colombian with Caribbean nuanc	L2	0.7310000000000001	0.01772944819596293	10.0	to_L1
piraña utria	Spanish - Colombian with Caribbean nuanc	L2	0.7312499999999998	0.008654237882871802	16.0	to_L2
bb008	Caracas - Venezuela	L2	0.75	0.02345207879911717	4.0	to_L1
bb008	Caracas - Venezuela	L2	0.7000000000000001	0.03245509718570157	6.0	to_L2
miguel89	Spanish	L2	0.7266666666666666	0.029059326290271154	3.0	to_L1
miguel89	Spanish	L2	0.6333333333333333	0.03382963855030739	3.0	to_L2
Lurrezko	Spanish (Spain) / Catalan	L2	0.7373684210526316	0.012746794236661555	19.0	to_L1
Lurrezko	Spanish (Spain) / Catalan	L2	0.7190000000000001	0.019801795653705524	10.0	to_L2
Realice	Spanish - Spain	L1	0.7150000000000001	0.01848422751068236	4.0	to_L1
Realice	Spanish - Spain	L1	0.7020000000000001	0.01933907960581371	5.0	to_L2
cbrena	español	L2	0.66	0.08504900548115382	3.0	to_L1
cbrena	español	L2	0.65	0.010000000000000009	2.0	to_L2
clares3	español España	L1	0.6919047619047618	0.01090257828001833	21.0	to_L1
clares3	español España	L1	0.7024999999999999	0.010297979758028958	32.0	to_L2
las cosas facilitas	valenciano y castellano	L1	0.725	0.0050000000000000044	2.0	to_L1
las cosas facilitas	valenciano y castellano	L1	0.7166666666666667	0.012018504251546642	3.0	to_L2
alberto gonzalez	español	L1	0.7050000000000001	0.06499999999999999	2.0	to_L1
alberto gonzalez	español	L1	0.6000000000000001	0.06	2.0	to_L2
XiaoRoel	galego, español	L1	0.6772307692307691	0.009115993163717641	65.0	to_L1
XiaoRoel	galego, español	L1	0.6803846153846156	0.009340877977592515	52.0	to_L2
Lexinauta	Castellano - Argentina	L1	0.67	0.0	2.0	to_L1
Lexinauta	Castellano - Argentina	L1	0.82	0.0	1.0	to_L2
juandiego	Spanish from Spain	L2	0.6906250000000002	0.009686606284558941	48.0	to_L1
juandiego	Spanish from Spain	L2	0.7086956521739133	0.009602872343393545	23.0	to_L2
Julvenzor	Español propio (Andalucía, España)	L2	0.7438461538461539	0.020771604802589296	13.0	to_L1
Julvenzor	Español propio (Andalucía, España)	L2	0.728	0.042941821107167794	5.0	to_L2
Gabriel	Argentina / Español	L2	0.6666666666666666	0.02917380864938809	6.0	to_L1
Gabriel	Argentina / Español	L2	0.6763636363636363	0.017387180610633133	11.0	to_L2
jilar	Español	L2	0.6685714285714285	0.01529408212985214	14.0	to_L1
jilar	Español	L2	0.6930000000000001	0.010451310207695073	30.0	to_L2
Valtiel	Castilian and Catalan	L2	0.74	0.050000000000000044	2.0	to_L1
Valtiel	Castilian and Catalan	L2	0.706	0.03586084215408222	5.0	to_L2
Naticruz	Portugal - Português	L2	0.71	0.0	1.0	to_L1
Naticruz	Portugal - Português	L2	0.78	0.0	1.0	to_L2
PACOALADROQUE	ESPAÑOL (CARTAGENA-ESPAÑA)	L1	0.7287179487179486	0.009919918804760862	39.0	to_L1
PACOALADROQUE	ESPAÑOL (CARTAGENA-ESPAÑA)	L1	0.7197142857142858	0.009919725822025206	35.0	to_L2
diegodbs	Spain-Spanish	L2	0.6866666666666666	0.03179797338056485	3.0	to_L1
diegodbs	Spain-Spanish	L2	0.6980000000000001	0.032771939216347884	5.0	to_L2
tigger_uhuhu	spanish-mx ct	L1	0.7000000000000001	0.025166114784235822	3.0	to_L1
tigger_uhuhu	spanish-mx ct	L1	0.67	0.010000000000000009	2.0	to_L2
tatius	Spanish (Spain) - French	L2	0.71	0.03999999999999998	2.0	to_L1
tatius	Spanish (Spain) - French	L2	0.73	0.0	1.0	to_L2
Argónida	Español-Andalucía	L1	0.675	0.08500000000000002	2.0	to_L1
Argónida	Español-Andalucía	L1	0.732	0.024779023386727734	5.0	to_L2
lamartus	Spain Spanish	L1	0.745	0.025911938781738652	8.0	to_L1
lamartus	Spain Spanish	L1	0.6937499999999999	0.016655204391820996	16.0	to_L2
Jellby	Spanish (Spain)	L2	0.655	0.028404545090850896	12.0	to_L1
Jellby	Spanish (Spain)	L2	0.6623076923076924	0.017326200929770417	13.0	to_L2
Peón	Castellano	L1	0.6910000000000001	0.018162843634433705	10.0	to_L1
Peón	Castellano	L1	0.6814814814814816	0.011967473768745579	27.0	to_L2
Erreconerre	Mexican Spanish	L1	0.6333333333333334	0.017530019603571104	15.0	to_L1
Erreconerre	Mexican Spanish	L1	0.6383333333333333	0.033208098075285464	6.0	to_L2
María Madrid	Spanish Spain	L2	0.7016666666666667	0.02773886162848873	6.0	to_L1
María Madrid	Spanish Spain	L2	0.67	0.0	1.0	to_L2
Jay Lang	Spanish (from Spain)	L1	0.7050000000000001	0.024999999999999963	2.0	to_L1
Jay Lang	Spanish (from Spain)	L1	0.7	0.015644868320376006	15.0	to_L2
jsvillar	Spanish - Spain	L2	0.7266666666666666	0.017638342073763955	3.0	to_L1
jsvillar	Spanish - Spain	L2	0.6199999999999999	0.025720389995846908	13.0	to_L2
Peterdg	Dutch - Belgium	L2	0.6185714285714285	0.04474417075247378	7.0	to_L1
Peterdg	Dutch - Belgium	L2	0.6261538461538462	0.020366465069036506	13.0	to_L2
Quique Alfaro	castellano	L2	0.6849999999999999	0.022286019533929034	16.0	to_L1
